,Player,Country,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
12,DP Viljoen ,ZIM,53,46,2075,1639,44,Mar-20,37.25,4.73,47.1,0,0
13,JC Adams ,WI,127,56,1856,1499,43,May-37,34.86,4.84,43.1,0,1
14,CR Brathwaite ,WI,44,40,1825,1766,43,May-27,41.06,5.8,42.4,2,1
15,CJ Jordan ,ENG,31,31,1532,1521,43,May-29,35.37,5.95,35.6,0,1
16,Shapoor Zadran ,AFG,44,44,1983,1589,43,Apr-24,36.95,4.8,46.1,2,0
17,PR Stirling ,IRE,114,73,2392,1902,43,Jun-55,44.23,4.77,55.6,1,1
18,MA Suji ,KENYA,64,64,2952,2190,43,Apr-24,50.93,4.45,68.6,1,0
19,KLT Arthurton ,WI,105,44,1384,1159,42,Apr-31,27.59,5.02,32.9,3,0
20,AC Botha ,IRE,42,33,1560,1134,42,Apr-19,27,4.36,37.1,2,0
21,JW Hastings ,AUS,29,29,1486,1256,42,Jun-45,29.9,5.07,35.3,1,1
22,Imad Wasim ,PAK,53,51,2313,1865,42,May-14,44.4,4.83,55,0,1
23,AR McBrine ,IRE,42,40,2045,1489,42,Mar-38,35.45,4.36,48.6,0,0
24,SA Thomson ,NZ,56,51,2121,1602,42,Mar-14,38.14,4.53,50.5,0,0
25,Aftab Alam ,AFG,27,27,1257,1033,41,Apr-25,25.19,4.93,30.6,1,0
26,JAR Blain ,SCOT,33,32,1329,1173,41,May-22,28.6,5.29,32.4,1,1
27,DG Cork ,ENG,32,32,1772,1368,41,Mar-27,33.36,4.63,43.2,0,0
28,CE Cuffy ,WI,41,41,2153,1436,41,Apr-24,35.02,4,52.5,1,0
29,S Dhaniram ,CAN,44,41,1769,1240,41,May-32,30.24,4.2,43.1,1,1
30,SM Ervine ,ZIM,42,40,1649,1561,41,Mar-29,38.07,5.67,40.2,0,0
31,HA Gomes ,WI,83,36,1345,1045,41,Apr-31,25.48,4.66,32.8,2,0
32,AF Milne ,NZ,40,39,1801,1581,41,Mar-49,38.56,5.26,43.9,0,0
33,L Ngidi ,SA,22,22,1026,947,41,Apr-51,23.09,5.53,25,2,0
34,VD Philander ,SA,30,28,1279,986,41,04-Dec,24.04,4.62,31.1,2,0
35,Amir Hamza ,AFG,31,31,1552,1016,40,Apr-17,25.4,3.92,38.8,1,0
36,RP Arnold ,SL,180,84,2157,1739,40,Mar-47,43.47,4.83,53.9,0,0
37,RS Bopara ,ENG,120,74,1860,1523,40,Apr-38,38.07,4.91,46.5,1,0
38,Saleem Jaffar ,PAK,39,39,1900,1382,40,Mar-25,34.55,4.36,47.5,0,0
39,Shaheen Shah Afridi ,PAK,19,18,924,847,40,Jun-35,21.17,5.5,23.1,4,1
40,SJ Benn ,WI,47,46,2387,1913,39,Apr-18,49.05,4.8,61.2,3,0
41,PT Collins ,WI,30,30,1577,1212,39,May-43,31.07,4.61,40.4,0,1
42,SS Cottrell ,WI,30,28,1314,1293,39,May-46,33.15,5.9,33.6,1,1
43,WW Davis ,WI,35,35,1923,1302,39,Jul-51,33.38,4.06,49.3,0,1
44,GD Elliott ,NZ,83,56,1302,1179,39,Apr-31,30.23,5.43,33.3,1,0
45,WK McCallan ,IRE,39,35,1804,1208,39,Apr-30,30.97,4.01,46.2,2,0
46,H Masakadza ,ZIM,209,85,1844,1636,39,Mar-39,41.94,5.32,47.2,0,0
47,TBA May ,AUS,47,46,2504,1772,39,Mar-19,45.43,4.24,64.2,0,0
48,MO Odumbe ,KENYA,61,52,2237,1807,39,Apr-38,46.33,4.84,57.3,1,0
49,IS Sodhi ,NZ,31,30,1548,1430,39,Apr-58,36.66,5.54,39.6,1,0
0,Akram Raza ,PAK,49,48,2601,1611,38,Mar-18,42.39,3.71,68.4,0,0
